Harrow & Wealdstone,75.2,163.5
Kenton,86.1,153.6
South Kenton,91,143.5
North Wembley,94.2,136.8
Wembley Central,99.1,128
Stonebridge Park,110.7,122.8
Harlesden,120.1,116.7
Willesden Junction,128.3,112.4
Kensal Green,137.7,111.6
Queen's Park,148.6,113.5
Kilburn Park,155.2,115.1
Maida Vale,158.7,110
Warwick Avenue,161.1,104.9
Paddington,164.1,98.5
Edgware Road,168.2,103.7
Marylebone,171,105.1
Baker Street,175.3,105.1
Regent's Park,181.7,103.9
Oxford Circus,184.3,97.5
Piccadilly Circus,188.3,92.5
Charing Cross,192.9,91.3
Embankment,195.2,91
Waterloo,199.6,87.6
Lambeth North,201.3,84.9
Elephant & Castle,208.3,81.1
West Ruislip,20.7,139.9
Ruislip Gardens,35.6,133.5
South Ruislip,42.8,130.5
Northolt,58.8,123.9
Greenford,72.4,119.4
Perivale,84.3,115.6
Hanger Lane,103,109.7
North Acton,121.2,104.4
Ealing Broadway,98.3,93.7
West Acton,108.6,98.8
East Acton,127.1,99
White City,138.5,95.1
Shepherd's Bush,141.7,87.7
Holland Park,148,90.3
Notting Hill Gate,152.6,91.8
Queensway,158.4,92.9
Lancaster Gate,165,94
Marble Arch,174.8,96
Bond Street,179.8,96.8
Tottenham Court Road,189.9,98.4
Holborn,195.7,99.3
Chancery Lane,199.9,100.1
St Paul's,207.8,97.8
Bank,213,96.1
Liverpool Street,216.9,101
Bethnal Green,234.3,109.1
Mile End,243.4,107.7
Stratford,259.5,121.2
Leyton,259.1,136.9
Leytonstone,266.9,145.2
Snaresbrook,272.5,153.7
South Woodford,276,164.6
Woodford,279.7,180.2
Wanstead,277.9,150.9
Redbridge,286.9,152.9
Gants Hill,296.3,152.4
Newbury Park,310.1,152
Barkingside,309.3,160.9
Fairlop,310.4,170.7
Hainault,311.4,175.2
Grange Hill,310.4,185.8
Chigwell,299.8,190.2
Roding Valley,285.7,190.8
Buckhurst Hill,285.6,195.5
Loughton,290.1,213.7
Debden,306.5,214.6
Theydon Bois,315.1,241.9
Epping,320.3,264.7
Tower Hill,220.7,94.3
Aldgate,220.4,98.8
Moorgate,212.5,102.2
Barbican,208.1,102.9
Farringdon,203.2,105
King's Cross St Pancras,193.1,112.1
Euston Square,188.1,107.1
Great Portland Street,183.3,105.4
Edgware Road,169.6,102.2
Bayswater,158,95.3
High Street Kensington,155.2,84.6
Gloucester Road,161.2,78.8
South Kensington,166.5,78.5
Sloane Square,176.5,77.4
Victoria,183,79.3
St James's Park,187.9,83.1
Westminster,193.7,85.4
Temple,199.2,94.2
Blackfriars,205.3,94.7
Mansion House,210.3,94.3
Cannon Street,213,93.8
Monument,215.5,93.1
Ealing Common,105.3,91.1
Acton Town,109.2,85.1
Chiswick Park,114.9,80.3
Turnham Green,123.5,79.5
Richmond,99.7,49.4
Kew Gardens,107.8,61.9
Gunnersbury,111.3,75.6
Stamford Brook,128.1,79.3
Ravenscourt Park,133.3,79.2
Hammersmith,139.1,77.3
Barons Court,144.1,75.1
West Kensington,148.9,75.7
Earl's Court,154.8,76.8
Kensington (Olympia),146.3,82
Wimbledon,152,15.1
Wimbledon Park,155.2,25.7
Southfields,150.2,36.6
East Putney,147.5,46.4
Putney Bridge,149.1,54.9
Parsons Green,152.3,62.1
Fulham Broadway,155.2,67.3
West Brompton,154.4,72.7
Aldgate East,222.9,99.8
Whitechapel,228.6,102.8
Stepney Green,236.3,105.3
Bow Road,249.5,107.1
Bromley-by-Bow,256.1,106.2
West Ham,264.2,110.7
Plaistow,271.2,113.4
Upton Park,280.7,116
East Ham,291.9,120.2
Barking,305.8,121.1
Upney,316.3,118.7
Becontree,330.3,121.8
Dagenham Heathway,340.3,122.7
Dagenham East,350.3,125.4
Elm Park,369.8,130.4
Hornchurch,378.4,133.8
Upminster Bridge,386.5,137.2
Upminster,397.5,138.6
Shoreditch,223,103.3
Shadwell,231.3,96
Wapping,231.8,89.2
Rotherhithe,233.1,85.5
Canada Water,234.3,83.5
Surrey Quays,237.1,78
New Cross Gate,241.3,63.5
New Cross,245,64.3
Hammersmith,137.7,80.1
Goldhawk Road,136.8,85.7
Shepherd's Bush,137,89.2
Latimer Road,142.5,95.9
Ladbroke Grove,145.5,99.1
Westbourne Park,150,101.9
Royal Oak,158.1,100.2
Stanmore,93.9,186.2
Canons Park,97.2,177.9
Queensbury,101.1,165.5
Kingsbury,106.7,156.6
Wembley Park,106.4,139.6
Neasden,123.8,131.6
Dollis Hill,129.7,129.9
Willesden Green,139.1,128.9
Kilburn,147.4,128.2
West Hampstead,157.2,127.2
Finchley Road,162.4,126.9
Swiss Cottage,164.7,123.3
St John's Wood,164.8,115.1
Green Park,184.1,89.6
Southwark,204.4,88.5
London Bridge,214.4,89.7
Bermondsey,225,84.5
Canary Wharf,254,88.1
North Greenwich,269.3,88
Canning Town,267.7,96.2
Watford,29.9,219.2
Croxley,15.2,210.9
Moor Park,22,194.9
Northwood,27.7,177.9
Northwood Hills,35.4,169.1
Pinner,51.6,163.4
North Harrow,60.4,157.3
Harrow-on-the-Hill,76,149.6
Uxbridge,2,121.7
Hillingdon,14,126.4
Ickenham,17.6,133.5
Ruislip,28.9,142.2
Ruislip Manor,34.2,144.6
Eastcote,43.2,147.3
Rayners Lane,56.3,146.9
West Harrow,66.4,150
Northwick Park,84.8,149.9
Preston Road,97.8,146.4
Edgware,107.3,182.3
Burnt Oak,113.7,173.6
Colindale,122.1,167.5
Hendon Central,135.2,157.6
Bent Cross,141.9,151.7
Golders Green,154.3,146.9
Hampstead,164.8,135.3
Belsize Park,171.2,129.1
Chalk Farm,176.2,124.3
Camden Town,182,121.2
High Barnet,150.8,219.3
Totteridge & Whetstone,159.7,200.8
Woodside Park,156.8,188.9
West Finchley,154.5,181.9
Finchley Central,154.5,172.7
Mill Hill East,142.9,180.2
East Finchley,168.9,161.8
Highgate,180.5,152.8
Archway,186.2,144.1
Tufnell Park,186,136.6
Kentish Town,184.4,129.9
Mornington Crescent,184.6,114.9
Euston,187.9,110.1
Angel,203.9,113.6
Old Street,212.2,108.4
Borough,210.5,85.8
